Time,Airline,Destination,Flight Number,Aircraft Type,Wind,Runway,Circle Time
4.98,American Airlines,"Adolfo Suárez Madrid–Barajas Airport; Madrid, Spain",AA6702,330,Northeast,4R,2.67
5.0,Spirit Airlines,"Fort Lauderdale Hollywood International Airport; Fort Lauderdale, United States",NK4858,319,Northeast,4R,3.33
5.04,Southwest Airlines,"Chicago Midway International Airport; Chicago, United States",WN8986,73W,Northeast,4R,2.67
5.09,Delta Air Lines,"Charles de Gaulle International Airport; Paris, France",DL4876,752,Northeast,4L,2.0
5.07,Southwest Airlines,"Hartsfield Jackson Atlanta International Airport; Atlanta, United States",WN7328,73W,Northeast,4R,3.33
5.11,United Airlines,"Halifax / Stanfield International Airport; Halifax, Canada",UA6127,CRJ,Northeast,4R,2.67
5.15,JetBlue Airways,"McCarran International Airport; Las Vegas, United States",B68902,320,Northeast,4L,2.0
5.18,American Airlines,"Pittsburgh International Airport; Pittsburgh, United States",AA8535,CRJ,Northeast,4R,2.0
5.2,JetBlue Airways,"Seattle Tacoma International Airport; Seattle, United States",B62769,320,Northeast,4R,2.67
5.24,Southwest Airlines,"General Mitchell International Airport; Milwaukee, United States",WN3690,733,Northeast,4L,2.0
5.27,Southwest Airlines,"Akron Canton Regional Airport; Akron, United States",WN8269,717,Northeast,4R,2.0
5.29,Southwest Airlines,"Chicago Midway International Airport; Chicago, United States",WN7696,73W,Northeast,4R,2.67
5.33,JetBlue Airways,"William P Hobby Airport; Houston, United States",B6525,E90,Northeast,4L,2.0
5.31,Alaska Airlines,"San Francisco International Airport; San Francisco, United States",AS2262,320,Northeast,4R,3.33
5.38,JetBlue Airways,"Palm Beach International Airport; West Palm Beach, United States",B62525,320,Northeast,4R,2.0
5.4,American Airlines,"Cancún International Airport; Cancun, Mexico",AA9837,319,Northeast,4R,2.67
5.44,JetBlue Airways,"Denver International Airport; Denver, United States",B64388,320,Northeast,4L,2.0
5.42,JetBlue Airways,"Dubai International Airport; Dubai, United Arab Emirates",B6794,77L,Northeast,4R,3.33
5.47,United Airlines,"Tocumen International Airport; Panama City, Panama",UA3147,73G,Northeast,4R,2.67
5.49,JetBlue Airways,"Raleigh Durham International Airport; Raleigh-durham, United States",B63170,E90,Northeast,4R,3.33
5.55,JetBlue Airways,"Long Beach /Daugherty Field/ Airport; Long Beach, United States",B63596,320,Northeast,4R,2.0
5.6,Cape Air,"Adirondack Regional Airport; Saranac Lake, United States",9K2091,CNA,Northeast,4R,2.0
5.69,Air France,"Charles de Gaulle International Airport; Paris, France",AF2967,744,Northeast,4R,2.0
5.71,American Airlines,"Pittsburgh International Airport; Pittsburgh, United States",AA6578,CRJ,Northeast,4R,2.67
5.75,United Airlines,"Denver International Airport; Denver, United States",UA3424,739,Northeast,4L,2.0
5.73,American Airlines,"La Guardia Airport; New York, United States",AA2696,319,Northeast,4R,3.33
5.78,Cape Air,"Provincetown Municipal Airport; Provincetown, United States",9K9675,CNA,Northeast,4R,2.67
5.82,KLM Royal Dutch Airlines,"London Heathrow Airport; London, United Kingdom",KL1859,767,Northeast,4L,2.0
5.8,Delta Air Lines,"Charles de Gaulle International Airport; Paris, France",DL8929,752,Northeast,4R,3.33
5.87,Lufthansa Cargo,"Munich Airport; Munich, Germany",LH3477,333,Northeast,4R,2.0
5.89,Delta Air Lines,"La Guardia Airport; New York, United States",DL6135,E75,Northeast,4R,2.67
5.93,JetBlue Airways,"Louis Armstrong New Orleans International Airport; New Orleans, United States",B62250,E90,Northeast,4R,2.0
5.95,Peninsula Airways,"Northern Maine Regional Airport at Presque Isle; Presque Isle, United States",KS5066,SF3,Northeast,4R,2.67
5.98,American Airlines,"Cancún International Airport; Cancun, Mexico",AA3778,319,Northeast,4R,3.33
6.45,Southwest Airlines,"Nashville International Airport; Nashville, United States",WN7778,73W,Northeast,4R,2.0
6.56,Delta Air Lines,"Amsterdam Airport Schiphol; Amsterdam, Netherlands",DL577,333,Northeast,4R,2.0
6.66,American Airlines,"Los Angeles International Airport; Los Angeles, United States",AA1080,738,Northeast,4R,2.0
6.88,JetBlue Airways,"Charleston Air Force Base-International Airport; Charleston, United States",B65193,E90,Northeast,4R,2.0
6.99,Cape Air,"Provincetown Municipal Airport; Provincetown, United States",9K3778,CNA,Northeast,4R,2.0
7.09,Peninsula Airways,"Plattsburgh International Airport; Plattsburgh, United States",KS5570,SF3,Northeast,4R,2.0
7.2,Delta Air Lines,"Cancún International Airport; Cancun, Mexico",DL4150,757,Northeast,4R,2.0
7.63,Delta Air Lines,"Salt Lake City International Airport; Salt Lake City, United States",DL2169,320,Northeast,4R,2.0
7.74,Delta Air Lines,"Jacksonville International Airport; Jacksonville, United States",DL3892,CR9,Northeast,4R,2.0
7.95,JetBlue Airways,"Cibao International Airport; Santiago, Dominican Republic",B69441,320,Northeast,4R,2.0
8.17,JetBlue Airways,"Princess Juliana International Airport; Philipsburg, Netherlands Antilles",B66619,320,Northeast,4R,2.0
8.27,Delta Air Lines,"London Heathrow Airport; London, United Kingdom",DL5887,764,Northeast,4R,2.0
8.38,United Airlines,"Lester B. Pearson International Airport; Toronto, Canada",UA9569,E75,Northeast,4R,2.0
8.49,American Airlines,"Seattle Tacoma International Airport; Seattle, United States",AA54,737,Northeast,4R,2.0
9.02,Delta Air Lines,"Hartsfield Jackson Atlanta International Airport; Atlanta, United States",DL726,319,Northeast,4R,2.0
9.24,Delta Air Lines,"Minneapolis-St Paul International/Wold-Chamberlain Airport; Minneapolis, United States",DL4074,320,Northeast,4R,2.0
9.34,Cape Air,"Provincetown Municipal Airport; Provincetown, United States",9K9449,CNA,Northeast,4R,2.0
9.88,American Airlines,"Miami International Airport; Miami, United States",AA6595,738,Northeast,4R,2.0
9.99,JetBlue Airways,"Ronald Reagan Washington National Airport; Washington, United States",B63208,320,Northeast,4R,2.0
10.09,United Airlines,"Cleveland Hopkins International Airport; Cleveland, United States",UA1846,319,Northeast,4R,2.0
10.2,Air Canada,"Lester B. Pearson International Airport; Toronto, Canada",AC6594,E75,Northeast,4R,2.0
10.31,American Airlines,"Syracuse Hancock International Airport; Syracuse, United States",AA3706,DH3,Northeast,4R,2.0
10.52,JetBlue Airways,"Richmond International Airport; Richmond, United States",B65728,E90,Northeast,4R,2.0
10.95,American Airlines,"Buffalo Niagara International Airport; Buffalo, United States",AA8957,CRJ,Northeast,4R,2.0
11.06,Southwest Airlines,"Akron Canton Regional Airport; Akron, United States",WN8708,717,Northeast,4R,2.0
11.17,AeroMéxico,"Cancún International Airport; Cancun, Mexico",AM3864,757,Northeast,4R,2.0
11.27,Delta Air Lines,"Cincinnati Northern Kentucky International Airport; Cincinnati, United States",DL8568,320,Northeast,4R,2.0
11.81,JetBlue Airways,"Austin Bergstrom International Airport; Austin, United States",B69878,E90,Northeast,4R,2.0
12.02,American Airlines,"Miami International Airport; Miami, United States",AA727,757,Northeast,4R,2.0
12.34,Swiss International Air Lines,"Zürich Airport; Zurich, Switzerland",LX7588,333,Northeast,4R,2.0
12.49,Southwest Airlines,"Orlando International Airport; Orlando, United States",WN9587,717,Northeast,4R,2.0
12.65,Swiss International Air Lines,"Zürich Airport; Zurich, Switzerland",LX304,333,Northeast,4R,2.0
12.81,JetBlue Airways,"Philadelphia International Airport; Philadelphia, United States",B69129,E90,Northeast,4R,2.0
12.96,Delta Air Lines,"Detroit Metropolitan Wayne County Airport; Detroit, United States",DL1829,757,Northeast,4R,2.0
13.43,Southwest Airlines,"Chicago Midway International Airport; Chicago, United States",WN8441,73W,Northeast,4R,2.0
13.59,Peninsula Airways,"Northern Maine Regional Airport at Presque Isle; Presque Isle, United States",KS7592,SF3,Northeast,4R,2.0
13.74,Delta Air Lines,"Providenciales Airport; Providenciales, Turks and Caicos Islands",DL9651,320,Northeast,4R,2.0
14.21,Delta Air Lines,"Minneapolis-St Paul International/Wold-Chamberlain Airport; Minneapolis, United States",DL3940,320,Northeast,4R,2.0
14.83,Aer Lingus,"Dublin Airport; Dublin, Ireland",EI3330,332,Northeast,4R,2.0
15.3,United Airlines,"Chicago O'Hare International Airport; Chicago, United States",UA483,738,Northeast,4R,2.0
15.77,JetBlue Airways,"Fort Lauderdale Hollywood International Airport; Fort Lauderdale, United States",B65505,E90,Northeast,4R,2.0
15.93,JetBlue Airways,"Denver International Airport; Denver, United States",B64393,320,Northeast,4R,2.0
16.08,Lufthansa Cargo,"Munich Airport; Munich, Germany",LH9206,333,Northeast,4R,2.0
16.55,United Airlines,"Ottawa Macdonald-Cartier International Airport; Ottawa, Canada",UA7510,DH1,Northeast,4R,2.0
16.71,American Airlines,"Los Angeles International Airport; Los Angeles, United States",AA5863,757,Northeast,4R,2.0
17.33,Alaska Airlines,"Northern Maine Regional Airport at Presque Isle; Presque Isle, United States",AS9395,SF3,Northeast,4R,2.0
17.64,Delta Air Lines,"Los Angeles International Airport; Los Angeles, United States",DL4652,73H,Northeast,4R,2.0
17.8,American Airlines,"Syracuse Hancock International Airport; Syracuse, United States",AA2208,DH8,Northeast,4R,2.0
17.96,United Airlines,"Montreal / Pierre Elliott Trudeau International Airport; Montreal, Canada",UA170,CRJ,Northeast,4R,2.0
18.11,American Airlines,"Los Angeles International Airport; Los Angeles, United States",AA3819,738,Northeast,4R,2.0
18.34,Delta Air Lines,"Cincinnati Northern Kentucky International Airport; Cincinnati, United States",DL8363,320,Northeast,4R,2.0
18.58,JetBlue Airways,"Lynden Pindling International Airport; Nassau, Bahamas",B61379,E90,Northeast,4R,2.0
18.92,JetBlue Airways,"Dallas Fort Worth International Airport; Dallas-Fort Worth, United States",B65458,E90,Northeast,4R,2.0
19.04,Southwest Airlines,"Akron Canton Regional Airport; Akron, United States",WN777,717,Northeast,4R,2.0
19.15,Southwest Airlines,"Hartsfield Jackson Atlanta International Airport; Atlanta, United States",WN5562,717,Northeast,4R,2.0
19.27,JetBlue Airways,"Richmond International Airport; Richmond, United States",B65595,E90,Northeast,4R,2.0
19.38,JetBlue Airways,"Austin Bergstrom International Airport; Austin, United States",B62078,E90,Northeast,4R,2.0
19.73,Southwest Airlines,"Kansas City International Airport; Kansas City, United States",WN8970,733,Northeast,4R,2.0
19.85,Aer Lingus,"Dublin Airport; Dublin, Ireland",EI2489,332,Northeast,4R,2.0
20.19,Southwest Airlines,"Hartsfield Jackson Atlanta International Airport; Atlanta, United States",WN3262,73W,Northeast,4R,2.0
20.42,American Airlines,"Greater Rochester International Airport; Rochester, United States",AA4919,CRJ,Northeast,4R,2.0
20.89,Delta Air Lines,"La Guardia Airport; New York, United States",DL6897,E75,Northeast,4R,2.0
21.0,Delta Air Lines,"Providenciales Airport; Providenciales, Turks and Caicos Islands",DL327,320,Northeast,4R,2.0
21.12,Delta Air Lines,"Cincinnati Northern Kentucky International Airport; Cincinnati, United States",DL2619,320,Northeast,4R,2.0
21.23,JetBlue Airways,"Southwest Florida International Airport; Fort Myers, United States",B64754,320,Northeast,4R,2.0
21.58,Alaska Airlines,"Los Angeles International Airport; Los Angeles, United States",AS4811,757,Northeast,4R,2.0
21.93,American Airlines,"Miami International Airport; Miami, United States",AA4644,757,Northeast,4R,2.0
22.04,United Airlines,"Halifax / Stanfield International Airport; Halifax, Canada",UA9083,CRJ,Northeast,4R,2.0
22.5,Delta Air Lines,"Detroit Metropolitan Wayne County Airport; Detroit, United States",DL9656,M90,Northeast,4R,2.0
22.97,American Airlines,"Buffalo Niagara International Airport; Buffalo, United States",AA8255,CRJ,Northeast,4R,2.0
23.08,United Airlines,"San Francisco International Airport; San Francisco, United States",UA8253,319,Northeast,4R,2.0
23.2,JetBlue Airways,"Punta Cana International Airport; Punta Cana, Dominican Republic",B66751,320,Northeast,4R,2.0
23.31,AeroMéxico,"Hartsfield Jackson Atlanta International Airport; Atlanta, United States",AM9739,738,Northeast,4R,2.0
23.66,Air Canada,"Halifax / Stanfield International Airport; Halifax, Canada",AC5086,CRJ,Northeast,4R,2.0
23.78,Delta Air Lines,"Salt Lake City International Airport; Salt Lake City, United States",DL2572,320,Northeast,4R,2.0
0.02,Delta Air Lines,"Los Angeles International Airport; Los Angeles, United States",DL3002,73H,Southwest,4R,2.0
0.04,Spirit Airlines,"Chicago O'Hare International Airport; Chicago, United States",NK8638,319,Southwest,4R,2.67
0.09,American Airlines,"Adolfo Suárez Madrid–Barajas Airport; Madrid, Spain",AA4393,330,Southwest,4L,2.0
0.16,American Airlines,"La Guardia Airport; New York, United States",AA9298,E90,Southwest,4R,2.0
0.22,British Airways,"Adolfo Suárez Madrid–Barajas Airport; Madrid, Spain",BA7764,333,Southwest,4R,2.0
0.27,JetBlue Airways,"Fort Lauderdale Hollywood International Airport; Fort Lauderdale, United States",B62589,320,Southwest,4R,2.0
0.31,Finnair,"Adolfo Suárez Madrid–Barajas Airport; Madrid, Spain",AY3735,333,Southwest,4R,2.0
0.38,Southwest Airlines,"Akron Canton Regional Airport; Akron, United States",WN11,717,Southwest,4R,2.0
0.44,American Airlines,"London Heathrow Airport; London, United Kingdom",AA6947,744,Southwest,4R,2.0
0.47,Aer Lingus,"Dublin Airport; Dublin, Ireland",EI8900,330,Southwest,4R,2.67
0.51,JetBlue Airways,"Dubai International Airport; Dubai, United Arab Emirates",B66780,77L,Southwest,4L,2.0
0.58,Air Canada,"Halifax / Stanfield International Airport; Halifax, Canada",AC3781,CRJ,Southwest,4R,2.0
0.62,United Airlines,"Halifax / Stanfield International Airport; Halifax, Canada",UA3870,CRJ,Southwest,4R,2.0
0.67,Southwest Airlines,"Orlando International Airport; Orlando, United States",WN9889,717,Southwest,4R,2.0
0.71,Cape Air,"Martha's Vineyard Airport; Vineyard Haven MA, United States",9K2631,CNA,Southwest,4R,2.0
